id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown Up,Verse King,hip-hop,confident,0.80,95,0.72,0.85,0.09
12,Late Night Thoughts,Verse King,hip-hop,sad,0.45,82,0.33,0.55,0.31
13,Block Party,Concrete Roots,hip-hop,happy,0.87,100,0.80,0.91,0.07
14,Numb Season,Hollow Lane,hip-hop,melancholic,0.52,88,0.28,0.60,0.42
15,Trap Garden,Nova Glyph,hip-hop,intense,0.90,140,0.55,0.88,0.04
16,Moonlight Sonata (Modern),Clara Voss,classical,sad,0.20,52,0.30,0.22,0.97
17,Spring Allegro,Clara Voss,classical,happy,0.38,120,0.72,0.34,0.98
18,Storm Overture,Brass Echo,classical,intense,0.65,148,0.44,0.28,0.95
19,Still Waters,River Quartet,classical,chill,0.18,44,0.58,0.20,0.99
20,March of the Bold,Brass Echo,classical,confident,0.72,136,0.66,0.35,0.93
21,Golden Hour,Sable Jay,r&b,romantic,0.60,96,0.85,0.74,0.44
22,Can't Let Go,Sable Jay,r&b,sad,0.50,88,0.40,0.65,0.52
23,Sunday Slow,Velour,r&b,relaxed,0.42,78,0.76,0.68,0.63
24,Burn It Back,Velour,r&b,intense,0.78,108,0.62,0.80,0.18
25,Soul Kitchen,Marla Fenn,r&b,happy,0.70,104,0.88,0.84,0.29
26,Overdrive Festival,Zap Collective,edm,euphoric,0.97,128,0.78,0.96,0.02
27,Bass Cathedral,Driftwave,edm,intense,0.95,135,0.55,0.94,0.03
28,Neon Sunrise,Zap Collective,edm,happy,0.92,125,0.85,0.95,0.04
29,Underwater Pulse,Driftwave,edm,moody,0.80,118,0.40,0.88,0.08
30,Afterglow Protocol,Circuit Fauna,edm,chill,0.65,100,0.67,0.80,0.15
31,Porch & Pine,Dusty Rhodes,country,relaxed,0.40,92,0.78,0.60,0.82
32,Rodeo Nights,Dusty Rhodes,country,happy,0.72,118,0.82,0.75,0.65
33,Gravel Road,Westwind,country,sad,0.35,84,0.38,0.50,0.88
34,Firepit Song,Westwind,country,nostalgic,0.48,96,0.65,0.62,0.79
35,Heartland Drive,June Hollow,country,confident,0.60,108,0.74,0.70,0.70
36,Shatter,Voltline,rock,aggressive,0.96,162,0.32,0.72,0.06
37,Glass & Rust,Iron Hymn,rock,melancholic,0.68,120,0.38,0.64,0.28
38,Ember Anthem,Iron Hymn,rock,euphoric,0.88,144,0.70,0.76,0.12
39,Static Love,Pale Current,indie rock,nostalgic,0.62,110,0.64,0.68,0.40
40,Softfall,Pale Current,indie rock,sad,0.48,96,0.36,0.58,0.55
41,Willow & Rain,Fern Hollow,folk,sad,0.30,76,0.42,0.44,0.92
42,River Hymn,Fern Hollow,folk,nostalgic,0.38,84,0.68,0.50,0.88
43,Tavern Toast,Cobblestone,folk,happy,0.55,104,0.84,0.66,0.76
44,Mountain Pass,Cobblestone,folk,chill,0.32,70,0.60,0.48,0.90
45,Smoke & Clover,June Hollow,folk,relaxed,0.28,68,0.72,0.45,0.94
46,Synthwave Hearts,Neon Echo,synthwave,romantic,0.70,108,0.80,0.78,0.20
47,Chrome Horizon,Circuit Fauna,synthwave,euphoric,0.85,122,0.75,0.84,0.10
48,Retrograde,Nova Glyph,synthwave,nostalgic,0.72,114,0.58,0.76,0.18
49,Late Orbit,Orbit Bloom,ambient,melancholic,0.22,55,0.35,0.35,0.95
50,Dawn Ritual,Orbit Bloom,ambient,focused,0.32,65,0.62,0.40,0.91
51,Fading Photograph,Velvet Echo,pop,nostalgic,0.68,112,0.62,0.74,0.30
52,Neon Heartbreak,Velvet Echo,pop,sad,0.72,116,0.38,0.76,0.22
53,Summer Static,Indigo Parade,pop,euphoric,0.89,128,0.86,0.88,0.12
54,Close to You,Jade Monroe,pop,romantic,0.58,102,0.82,0.70,0.45
55,City Glow,Max Pulse,pop,moody,0.74,114,0.50,0.78,0.20
56,Rain Tape Vol.2,Mint Leaf,lofi,relaxed,0.38,74,0.64,0.56,0.82
57,3am Study Hall,Mint Leaf,lofi,focused,0.36,70,0.52,0.54,0.85
58,Dusty Hallway,Paper Lanterns,lofi,nostalgic,0.44,82,0.58,0.60,0.80
59,Burning the Map,Voltline,rock,confident,0.86,148,0.60,0.74,0.08
60,Rust and Bone,Iron Hymn,rock,melancholic,0.70,118,0.36,0.66,0.25
61,Echo Chamber,Pale Current,rock,moody,0.75,126,0.44,0.70,0.18
62,Paper Walls,Telescope,indie rock,sad,0.55,104,0.38,0.62,0.52
63,Broke & Beautiful,Telescope,indie rock,euphoric,0.78,130,0.74,0.72,0.28
64,Velvet Underground,Pale Current,indie rock,moody,0.64,112,0.46,0.65,0.38
65,Candy Clouds,Hollow Fig,indie pop,happy,0.80,122,0.86,0.84,0.24
66,Golden Static,Hollow Fig,indie pop,nostalgic,0.65,108,0.70,0.74,0.40
67,Slow Burn Summer,Indigo Parade,indie pop,romantic,0.62,100,0.78,0.72,0.48
68,Pressure Point,Concrete Roots,hip-hop,aggressive,0.88,98,0.45,0.86,0.06
69,Long Way Home,Hollow Lane,hip-hop,nostalgic,0.58,85,0.55,0.65,0.38
70,Wavelength,Nova Glyph,hip-hop,confident,0.82,102,0.70,0.84,0.10
71,Blue Corridor,Slow Stereo,jazz,moody,0.45,88,0.48,0.58,0.84
72,Midnight Standard,Blue Ember,jazz,romantic,0.40,82,0.74,0.52,0.88
73,Uptown Swing,Swing Society,jazz,happy,0.68,132,0.84,0.76,0.72
74,Minor Keys Only,Blue Ember,jazz,sad,0.32,72,0.28,0.44,0.91
75,Silk & Rain,Sable Jay,r&b,melancholic,0.48,84,0.42,0.62,0.58
76,Gravity Pull,Jade Monroe,r&b,romantic,0.65,98,0.80,0.76,0.36
77,Voltage Peak,Zap Collective,edm,euphoric,0.96,132,0.82,0.97,0.02
78,Deep Signal,Driftwave,edm,focused,0.78,122,0.55,0.86,0.10
79,Whiskey & Stars,Dusty Rhodes,country,nostalgic,0.52,100,0.72,0.65,0.76
80,Open Plains,Westwind,country,chill,0.38,88,0.66,0.54,0.84
81,Winter Song,Fern Hollow,folk,melancholic,0.28,70,0.38,0.42,0.93
82,Campfire Circle,Cobblestone,folk,happy,0.52,98,0.82,0.64,0.78
83,Signal Drift,Orbit Bloom,ambient,focused,0.25,58,0.55,0.38,0.94
84,Hollow Space,Circuit Fauna,ambient,melancholic,0.20,50,0.30,0.28,0.97
85,Blade Run,Neon Echo,synthwave,intense,0.88,126,0.52,0.86,0.08
86,Pastel City,Nova Glyph,synthwave,romantic,0.68,106,0.78,0.80,0.22
87,Nocturne No. 5,Clara Voss,classical,romantic,0.22,60,0.68,0.24,0.99
88,Island Morning,Reef Tones,reggae,happy,0.65,80,0.88,0.78,0.60
89,Easy Ride,Reef Tones,reggae,chill,0.50,72,0.76,0.70,0.72
90,Stand Firm,Island Pulse,reggae,confident,0.72,86,0.74,0.80,0.52
91,Fracture Point,Iron Cross,metal,aggressive,0.98,175,0.28,0.70,0.04
92,Cold Dominion,Void Hammer,metal,intense,0.96,168,0.32,0.68,0.05
93,Rise from Ash,Iron Cross,metal,euphoric,0.94,160,0.55,0.72,0.06
94,Slow Burn,Jade Monroe,soul,romantic,0.52,88,0.84,0.66,0.68
95,River Deep,Marla Fenn,soul,sad,0.45,78,0.42,0.60,0.74
96,Testify,Brass & Soul,soul,euphoric,0.78,112,0.88,0.80,0.38
97,Fuego Lento,Latin Groove Collective,latin,romantic,0.75,100,0.84,0.88,0.32
98,Calor de Verano,Rio Spark,latin,happy,0.85,116,0.90,0.92,0.18
99,Tormenta,Rio Spark,latin,intense,0.90,130,0.62,0.88,0.10
100,Electric Bossa,Swing Society,jazz-fusion,relaxed,0.58,96,0.72,0.70,0.62
